_id,player_id,player_name,country,type,rank,points,movement,lastUpdated,createdAt,updatedAt
67e0b844f1520764b1dbaac0,2072,Jannik Sinner,Italy,ATP,1,11330,0,2025-03-24T01:41:24.177Z,2025-03-24T01:41:24.191Z,2025-03-24T01:41:24.191Z
67e0b844f1520764b1dbaac1,1980,Alexander Zverev,Germany,ATP,2,7945,0,2025-03-24T01:41:24.177Z,2025-03-24T01:41:24.191Z,2025-03-24T01:41:24.191Z
67e0b844f1520764b1dbaac2,2382,Carlos Alcaraz,Spain,ATP,3,6910,0,2025-03-24T01:41:24.177Z,2025-03-24T01:41:24.191Z,2025-03-24T01:41:24.191Z
67e0b844f1520764b1dbaac3,2832,Taylor Fritz,USA,ATP,4,4900,0,2025-03-24T01:41:24.178Z,2025-03-24T01:41:24.191Z,2025-03-24T01:41:24.191Z
67e0b844f1520764b1dbaac4,1905,Novak Djokovic,Serbia,ATP,5,3860,-2,2025-03-24T01:41:24.178Z,2025-03-24T01:41:24.191Z,2025-03-24T01:41:24.191Z
67e0b844f1520764b1dbaac5,430,Casper Ruud,Norway,ATP,6,3855,2,2025-03-24T01:41:24.178Z,2025-03-24T01:41:24.191Z,2025-03-24T01:41:24.191Z
67e0b844f1520764b1dbaac6,7011,Jack Draper,United Kingdom,ATP,7,3800,-3,2025-03-24T01:41:24.178Z,2025-03-24T01:41:24.191Z,2025-03-24T01:41:24.191Z
67e0b844f1520764b1dbaac7,1093,Daniil Medvedev,World,ATP,8,3680,1,2025-03-24T01:41:24.178Z,2025-03-24T01:41:24.191Z,2025-03-24T01:41:24.191Z
67e0b844f1520764b1dbaac8,2847,Andrey Rublev,World,ATP,9,3440,3,2025-03-24T01:41:24.178Z,2025-03-24T01:41:24.191Z,2025-03-24T01:41:24.191Z
67e0b844f1520764b1dbaac9,1906,Stefanos Tsitsipas,Greece,ATP,10,3405,1,2025-03-24T01:41:24.178Z,2025-03-24T01:41:24.191Z,2025-03-24T01:41:24.191Z
67e0b844f1520764b1dbaaca,1106,Alex De Minaur,Australia,ATP,11,3335,3,2025-03-24T01:41:24.178Z,2025-03-24T01:41:24.191Z,2025-03-24T01:41:24.191Z
67e0b844f1520764b1dbaacb,437,Holger Rune,Denmark,ATP,12,3270,-3,2025-03-24T01:41:24.178Z,2025-03-24T01:41:24.191Z,2025-03-24T01:41:24.191Z
67e0b844f1520764b1dbaacc,1894,Tommy Paul,USA,ATP,13,3030,2,2025-03-24T01:41:24.178Z,2025-03-24T01:41:24.191Z,2025-03-24T01:41:24.191Z
67e0b844f1520764b1dbaacd,2973,Ben Shelton,USA,ATP,14,2980,1,2025-03-24T01:41:24.178Z,2025-03-24T01:41:24.191Z,2025-03-24T01:41:24.191Z
67e0b844f1520764b1dbaace,2384,Grigor Dimitrov,Bulgaria,ATP,15,2745,0,2025-03-24T01:41:24.178Z,2025-03-24T01:41:24.191Z,2025-03-24T01:41:24.191Z
